sample_ID,Colour,color_code,sample_no,B_L,B_a,B_b,B_G,ΔL,Δa,Δb,ΔG,DeltaE,gray_scale,crack,inkT,judge
Q4,Hyperpink,YZR,2,29.78,53.83,4.85,89.88,0.71,-2.13,0.9,-37.3,2.46,4,0,0.024,1
Q4,Hyperpink,YZR,3,29.61,53,6.48,90.05,1.18,-2.18,0.8,-39.25,2.62,4,0,0.022,1
Q4,Hyperpink,YZR,4,30.06,53.79,5.41,88.87,0.52,-1.92,1.2,-47.08,2.37,4,0,0.018,1
Q4,Hyperpink,YZR,6,29.23,53.18,7.71,89.19,1.73,-0.89,0.91,-39.77,2.22,4,0,0.027,1
Q4,Met Mat stellar Blue,YUA,1,15.11,0.35,-13.38,12.15,3.78,-0.8,3.61,-4.51,5.31,3.5,0,0.011,1
Q4,Met Mat stellar Blue,YUA,2,15.3,0.1,-15.23,14.29,3.9,-0.68,3.37,-3.56,5.22,3.5,0,0.013,1
Q4,Met Mat stellar Blue,YUA,3,15.93,0.02,-15.95,12.34,3.31,-0.82,2.35,9.62,4.16,3.5,0,0.011,1
Q4,Met Mat stellar Blue,YUA,4,15.18,0.16,-14.98,13.89,3.71,-0.68,2.79,-3.65,4.8,4,0,0.014,1
Q4,Aura Yellow,PQE,1,82.63,-9.78,88.05,89.78,0.05,0.01,-2.82,-44.31,2.84,4,0,0.014,1
Q4,Aura Yellow,PQE,2,82.44,-9.73,87.84,89.25,-0.07,-0.14,-2.31,-27.29,2.33,4,0,0.015,1
Q4,Aura Yellow,PQE,3,83.98,-11.43,89.39,90.89,-0.2,0.02,-2.84,-32.05,2.85,4,0,0.012,1
Q4,Aura Yellow,PQE,4,82.44,-9.79,87.94,91.01,-0.06,0.6,-2.63,-22.09,2.84,4,0,0.018,1
Q4,Black,291,1,4.26,-0.15,-0.98,25.31,5.31,-0.17,-0.96,-12.81,5.42,3,0,0.01,1
Q4,Black,291,2,3.17,-0.09,-0.52,29.75,6.38,-0.26,-1.49,-13.2,6.56,3.5,0,0.012,1
Q4,Black,291,3,4.21,-0.08,-0.51,23.55,6.37,-0.27,-1.42,-13.73,6.53,3.5,0,0.012,1
Q4,Black,291,4,3.07,-0.06,-0.54,30.36,6.57,-0.25,-1.41,-9.21,6.73,3.5,0,0.013,1
Q4,Black,291,5,4.25,-0.06,-0.67,26.14,5.96,-0.27,-1.55,-13.35,6.17,3.5,0,0.01,1
Q4,CDY Summer Red,YTB,0,27.27,47.94,36.02,86.72,1.24,-1.12,-3.45,-43.62,3.87,4,1,,0
Q4,Mat Fibroin Gray,PGZ,0,46.71,0.25,-0.88,30.59,1.16,-0.43,1.29,-18.55,1.78,3.5,0,,1
